Station,Location,State,Temperature,Temp_Unit,Dissolved_Oxygen,DO_Unit,pH,pH_Unit,Conductivity,Cond_Unit,BOD,BOD_Unit,Nitrate,Nitrate_Unit,Fecal_Coliform,FC_Unit,Total_Coliform,TC_Unit,Fecal_Streptococci,FS_Unit
1015,"RIVER SUTLEJ D/S OF EXIT
POINT  OF  DEHAR  POWER HOUSE",HIMACHAL PRADESH,10,28,8.8,9.7,7.86,8.34,137,300,BDL,BDL,0.32,2.09,58,140,280,540,BDL,BDL
1016,RIVER          SUTLEJ          D/S BHAKHRA,HIMACHAL PRADESH,16,28,8.4,9.4,6.88,7.84,181,316,BDL,BDL,BDL,5.77,2,43,21,220,BDL,BDL
30087,"RIVER     SUTLEJ     U/S    AT OLINDA,    NEAR    BHAKRA DAM, H.P.",HIMACHAL PRADESH,18,21,8.5,10.7,8,8.3,218,249,3,3,0.32,0.42,220,3300,700,17000,22,22
30088,"RIVER SUTLEJ D/S OLINDA, NEAR BHAKRA DAM, H.P.",HIMACHAL PRADESH,18,21,8.4,10.1,8.1,8.3,216,243,1.3,1.5,0.32,0.42,2,680,430,3300,8,8
30010,RIVER           SUTLEJ           AT NOORPUR      BEDI      ROAD (PUNJAB),PUNJAB,18,26,8.6,9.2,7.7,8,237,273,BDL,BDL,0.42,0.92,110,2300,700,14000,130,130
1814,"RIVER     SUTLEJ     AT     D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,11,25,8,10.6,7.6,8.5,214,321,BDL,BDL,1.2,1.8,92,250,410,790,-,-
2915,"RIVER  SUTLEJ  AT  100  MT. D/S    OF    PACL,    NANGAL, PUNJAB",PUNJAB,11,22,8.3,10.7,7.3,8.4,216,272,BDL,BDL,1.3,1.7,20,140,140,390,-,-
1380,"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,10,22,8.4,10.8,7.5,8.4,217,270,BDL,BDL,1.4,1.7,20,100,170,380,-,-
10020,RIVER           SUTLEJ           AT ANANDPUR SAHIB,PUNJAB,12,27,7.8,10,7.4,8.5,235,388,BDL,BDL,1.3,2.1,78,210,330,580,-,-
10021,RIVER  SUTLEJ  AT  BUNGA SAHIB,PUNJAB,10,,,11.1,7.4,8.4,217,277,BDL,BDL,1.3,1.7,130,260,460,790,-,-
10022,RIVER           SUTLEJ           AT PHILLAUR U/S,PUNJAB,13,32,5.6,8,7.2,8.3,238,522,1.6,4,BDL,1.4,260,2200,700,4900,-,-
10023,RIVER           SUTLEJ           AT PHAGWARA                      U/S (CHAHERU BRIDGE),PUNJAB,10,33,2.9,5.8,7.2,8.3,610,858,8,17,0.4,2.1,320,2100,1500,6300,-,-
10024,"RIVER           SUTLEJ           AT PHAGWARA                      D/S
(KANGANIWAL BRIDGE)",PUNJAB,10,36,1,1.4,7.1,8.4,574,1265,11,26,0.4,2.4,2100,7800,6300,21000,-,-
10027,RIVER           SUTLEJ           AT LUDHIANA U/S,PUNJAB,12,29,7.1,9.2,7.8,8.5,258,336,1.2,1.2,1.3,2.4,330,1400,940,3400,-,-
10028,RIVER           SUTLEJ           AT LUDHIANA D/S,PUNJAB,11,31,1,7,7.2,8,294,1150,1.6,39,1.4,3.1,33000,"13000
00",94000,"21000
00",-,-
1017,"RIVER   SUTLEJ   AT   100M
U/S       OF      HEADWORKS, NANGAL",PUNJAB,9,21,7.2,9.1,7.7,8.2,200,241,BDL,BDL,1.2,1.8,18,130,110,270,-,-
1018,"RIVER   SUTLEJ   AT   100M D/S , NANGAL",PUNJAB,10,26,7.6,10.5,7.5,8.5,221,307,BDL,BDL,1.2,1.7,11,110,170,470,-,-
1293,"RIVER   SUTLEJ   AT   1   KM.
D/S OF ZENITH, PUNJAB",PUNJAB,10,26,7.3,9.4,7.6,8.3,229,478,BDL,BDL,1.2,1.8,320,1300,840,3400,-,-
1019,RIVER     SUTLEJ     AT     U/S HEAD WORKS ROPAR,PUNJAB,9,27,7.3,9.6,7.4,8.5,238,347,BDL,BDL,1.3,1.9,250,930,580,3400,-,-
1690,"RIVER     SUTLEJ     AT     U/S BUDHA  NALLAH  (UPPER), PUNJAB",PUNJAB,9,30,6.2,8,7.4,8.2,254,438,1.1,1.4,1.6,2.6,400,1700,1000,4300,-,-
1020,"RIVER   SUTLEJ   AT   100M D/S  BUDHA  NALA  CONFL., LUDHIANA",PUNJAB,10,32,1.1,6,7.2,7.7,332,1302,2.6,140,1.6,3.4,70000,"23000
00","17000
0","58000
00",-,-
1022,"RIVER  SUTLEJ  AT  BRIDGE HARIKE, AMRITSAR",PUNJAB,13,28,4.8,7.6,7.2,8.5,220,660,1.2,4,1.3,2.3,780,2100,2200,5800,-,-
10025,RIVER           SUTLEJ           AT JALANDHAR   U/S   (PEERU SHAH KA DARGAH),PUNJAB,10,37,0,0,6.9,7.9,792,1210,50,85,3,5.2,33000,"23000
0","11000
0","49000
0",-,-
10026,"RIVER           SUTLEJ           AT JALANDHAR                      D/S
(MALSIAN BRIDGE)",PUNJAB,11,36,0,0,7.2,7.8,589,1260,50,87,4.6,7.2,22000,"21000
0",79000,"63000
0",-,-
1021,"RIVER   SUTLEJ   AT   BOAT BDG. DHARMKOTNAKODAR
ROAD, JALANDHAR",PUNJAB,12,29,1.2,6.2,7.1,8.5,320,1023,1.4,70,1.3,3,4600,"49000
0",70000,"11000
00",-,-
1381,"RIVER SUTLEJ AT D/S EAST BEIN, PUNJAB",PUNJAB,13,29,1.4,5.8,7.1,8.4,307,1045,2.5,37,1.5,3.3,31000,"49000
0",84000,"11000
00",-,-
1691,"RIVER     SUTLEJ     AT     U/S HUSSANIWALA      -      H/W
FEROZEPUR, PUNJAB",PUNJAB,11,30,5.6,8.8,7.2,8.3,232,353,1.1,1.3,1.2,1.9,250,1300,580,3300,-,-
1692,"RIVER     SUTLEJ     AT     D/S HUSSANIWALA-H/W FEROZEPUR, PUNJAB",PUNJAB,12,29,5.6,8.5,7.2,8.4,234,360,1.2,1.4,1.2,2,180,1700,610,3400,-,-
